Name,Title,Act,Location,Kits,TargetMinutes,Boss,NewWeapons,NewAbilities,NewEnemies,ModCrates,HeartShard,MuteCell,Tab,Tape,RequiemGate,Pedal,ChoirMasses,Effigies,Reprise,SoundingStations,NextMission,HubAfter
M17,Cytherea,IV,Venus aerostat,AERO;CHOIR,75,,,Reverie;GravityRooms,CrescendoGilded,,1,0,,Tape08,0,PDL_Tuner,2,1,1,1,M18,0
M18,The Dreaming Choir,IV,Lydian's dream,AERO;MIXED;CHOIR,80,BOSS_Lydian,,,,,1,1,Tab08,,6,PDL_Bitcrusher,1,2,1,2,M19,1
M19,The Chancel,IV,LEO conversion facility,CHOIR;ORB,80,BOSS_MaestroPrimus_Final,,PedalSlot4,,,0,0,,Tape09,0,,2,2,1,2,M20,1
M20,The Nave,V,Harmonium entry,HARM;CHOIR,70,,,NotePlatforms;HymnSaturation,ProfundoGilded,,1,0,Tab09,,0,PDL_Sustain,2,1,1,1,M21,1
M21,Aubade,V,Oreth capital,OREN,65,,WPN_Axe,GrudgeBearer;WindTowers,,,1,1,,Tape10,0,PDL_KillSwitch,1,2,0,1,M22,0
M22,The Unresolved,V,Locris's domain,OREN;HARM,75,BOSS_Locris,,HeartbeatNavigation,CanonGilded,,1,0,Tab10,,7,,2,2,1,2,M23,1
M23,Aureole,V,Halcyon ruins,CITY;CHOIR;CULT,85,,,Mech2,ChoirColossus,,1,0,,Tape11,0,PDL_WallOfAmps,2,2,1,2,M24,0
M24,The Octave,V,Cathedral of the Final Chord,CULT;CHOIR,75,BOSS_Octave,,,,,0,1,Tab11,,0,,1,1,1,1,M25,1
M25,The Staves,VI,Harmonium,HARM;SHIP,75,,,Broadside,Seraphim,,0,0,,Tape12,0,,2,2,1,2,M26,0
M26,The Clef,VI,Harmonium,HARM;SHIP,80,,,Mech3,,,0,0,Tab12,,0,,2,1,1,1,M27,0
M27,The Final Chord,VI,Heart of the Clef,HARM,60,BOSS_Unison,,LastOverdrive,Unison,,0,0,,,0,,0,1,0,0,,1
